Gene Name,Resistance Group,Set Effect,Effect,Resistance Profile,PID Threshold,Coverage Threshold,Source
tet(W)_5_AJ427422 ,tet(W)_5_AJ427422 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(V)_1_AF030344 ,tet(V)_1_AF030344 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tetB(P)_1_NC_010937 ,tetB(P)_1_NC_010937 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(O/W)_1_AM889118 ,tet(O/W)_1_AM889118 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(O/W)_2_AM889119 ,tet(O/W)_2_AM889119 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(O/W)_3_AM889120 ,tet(O/W)_3_AM889120 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(O/W)_4_AM889121 ,tet(O/W)_4_AM889121 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(O/W)_5_AM889122 ,tet(O/W)_5_AM889122 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(O/W)-2_1_AY485122 ,tet(O/W)-2_1_AY485122 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(O/W)-1_1_AY485126 ,tet(O/W)-1_1_AY485126 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(O/W/O)-3_1_EF065524 ,tet(O/W/O)-3_1_EF065524 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(O/W/O)-2_1_AY196920 ,tet(O/W/O)-2_1_AY196920 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(O/W/O)-1_1_AY196921 ,tet(O/W/O)-1_1_AY196921 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(O/W/32/O)_1_EF065523 ,tet(O/W/32/O)_1_EF065523 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(O/W/32/O)_2_FM164392 ,tet(O/W/32/O)_2_FM164392 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(O/W/32/O)_5_JQ740053 ,tet(O/W/32/O)_5_JQ740053 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(O/W/32/O/W/O)_1_DQ525023 ,tet(O/W/32/O/W/O)_1_DQ525023 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(O/W/32/O/W/O)_2_DQ679926 ,tet(O/W/32/O/W/O)_2_DQ679926 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(O/32/O)_1_JQ740052 ,tet(O/32/O)_1_JQ740052 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(O/32/O)_2_AJ295238 ,tet(O/32/O)_2_AJ295238 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(O/32/O)_3_NZ_AUJS01000017 ,tet(O/32/O)_3_NZ_AUJS01000017 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(O/32/O)_7_FP929050 ,tet(O/32/O)_7_FP929050 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(S/M)_1_HM367711 ,tet(S/M)_1_HM367711 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(W/32/O)_1_AM710601 ,tet(W/32/O)_1_AM710601 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(W/32/O)_2_AM710602 ,tet(W/32/O)_2_AM710602 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(W/32/O)_3_AM710603 ,tet(W/32/O)_3_AM710603 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(W/32/O)_5_AM710605 ,tet(W/32/O)_5_AM710605 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
qnrA1_1_AY070235 ,qnrA1_1_AY070235 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
qnrA2_1_AY675584 ,qnrA2_1_AY675584 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
qnrA3_1_DQ058661 ,qnrA3_1_DQ058661 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
qnrA4_1_DQ058662 ,qnrA4_1_DQ058662 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
qnrA5_1_DQ058663 ,qnrA5_1_DQ058663 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
qnrA6_1_DQ151889 ,qnrA6_1_DQ151889 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
qnrA7_1_GQ463707 ,qnrA7_1_GQ463707 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
qnrA8_1_KY554783 ,qnrA8_1_KY554783 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
qnrB1_1_DQ351241 ,qnrB1_1_DQ351241 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
qnrB2_1_DQ351242 ,qnrB2_1_DQ351242 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
qnrB3_1_DQ303920 ,qnrB3_1_DQ303920 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
qnrB4_1_DQ303921 ,qnrB4_1_DQ303921 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
qnrB5_1_DQ303919 ,qnrB5_1_DQ303919 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
qnrB6_1_EF520349 ,qnrB6_1_EF520349 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
qnrB6_2_EF523819 ,qnrB6_2_EF523819 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
qnrB7_1_EU043311 ,qnrB7_1_EU043311 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
qnrB8_1_EU043312 ,qnrB8_1_EU043312 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
