"Gene","Name","Resistance","Group","Set","Effect","Effect","Resistance","Profile","PID","Threshold","Coverage","Threshold","Source"
"blaIMP5_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP27_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP18_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP1_5",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP19_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP6_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP25_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP13_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP26_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP4_2",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP4_3",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP9_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP25_3",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP8_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP15_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP22_2",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP14_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP14_2",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP1_11",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP16_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP10_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP4_6",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP13_5",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP12_3",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP2_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP14_3",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP28_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP29_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP32",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP33_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP34_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP35_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP37_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP38_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP40_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP41_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaIMP42_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaKPC3_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaKPC11_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaKPC7_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaKPC1_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaKPC8_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaKPC5_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaKPC4_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaKPC10_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaKPC6_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaNDM1_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaNMCA_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA104_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA134_2",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA133_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA49_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA166_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA167_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA170_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA168_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA27_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA73_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA169_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA165_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA225_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA171_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA23_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA146_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA134_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA67_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA89_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA164_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA58_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA97_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA96_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA130_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA51_4",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA108_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA88_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA94_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA65_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA90_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA200_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA206",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA84_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA202_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA196_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA175_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA138_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA197_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA194_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA195_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA176_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA174_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA177_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA82_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA51_3",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA79_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA80_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA115_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA178_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA109_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA201_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA66_4",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA76_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA131_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA173_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA172_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA83_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA95_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA203_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA150_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA149_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA68_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA128_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA144_2",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA78_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA217",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA117_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA98_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA77_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA91_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA89_2",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA75_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA93_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA106_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA51_5",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA70_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA148_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA51_7",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA92_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA112_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA110_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA69_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA107_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA51_10",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA51_6",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA208_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA216_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA180_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA99_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA111_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA223_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA219_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA132_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA51_8",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA179_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA51_9",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA71_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA113_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA64_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA86_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA87_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA162_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA244_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA48_2",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA245_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA163_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA247_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA181_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA54_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaSIM1_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaSPM1_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM29_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM30_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM31_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM32_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM33_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM34_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM35_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM36_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM37_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM38",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM28_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM27_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM24_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM1_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM3_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM25_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM19_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM14_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM4_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM6_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM11_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM12_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM5_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM10_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM9_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM8_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM20_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM23_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM18_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM13_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM16_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM15_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM7_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM17_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM26_1",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaVIM2_2",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaAIM",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaNDM10",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaNDM11",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaNDM12",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaNDM13",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaNDM14",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaNDM15",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaNDM16",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaNDM2",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaNDM3",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaNDM4",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaNDM5",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaNDM6",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaNDM7",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaNDM8",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaNDM9",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA100",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA120",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA199",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA204",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA232",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA248",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA249",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA250",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA254",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA259",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA261",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA262",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA263",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA312",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA313",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA314",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA315",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA316",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA317",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA338",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA365",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA366",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA370",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA371",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA374",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA375",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA376",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA377",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA378",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA379",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA380",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA381",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA382",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA383",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA384",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA385",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA386",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA388",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA389",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA390",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA391",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA397",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA398",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA405",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA420",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
"blaOXA422",,"RESISTANT","RESISTANCE","IPM,MEM,ETP",80,80,,,,,,,
